date,symbol,open,high,low,close,network,SMA_10,SMA_50,RSI,MACD,MACD_Signal,Log_Return,Volatility
2019-10-21,BTCUSDT,8223.35,8333.0,8142.03,8197.27,Bitcoin,8146.055,9115.796,50.20903204769891,-244.94901682900127,-302.1874538985154,-0.0031764966157445487,0.022245346260883616
2019-10-22,BTCUSDT,8197.28,8297.99,8000.0,8020.0,Bitcoin,8118.045999999999,9069.396,46.03872910448956,-238.74969882884398,-289.49990288458116,-0.021862750130075582,0.022635563618883716
2019-10-23,BTCUSDT,8020.06,8047.59,7300.0,7466.62,Bitcoin,8037.207,9006.4228,23.104757035259908,-275.31616251728246,-286.66315481112144,-0.07149600170507005,0.02733538340782369
2019-10-24,BTCUSDT,7468.47,7503.68,7337.99,7412.41,Bitcoin,7943.628,8943.3306,22.534211762900753,-305.15203962341,-290.3609317735792,-0.0072867975758336145,0.027308440668565574
2019-10-25,BTCUSDT,7412.41,8799.0,7361.0,8655.02,Bitcoin,7993.200999999999,8905.1412,56.54621576823767,-225.92462664817322,-277.473670748498,0.1549838768309872,0.04497004110724094
2019-10-26,BTCUSDT,8655.88,10370.0,8470.38,9230.0,Bitcoin,8117.027,8883.7666,63.0531638035828,-115.4098771473673,-245.0609120282719,0.06431954908625395,0.04605398953914861
2019-10-27,BTCUSDT,9230.0,9794.98,9074.34,9529.93,Bitcoin,8262.962,8865.2476,66.35347654071298,-3.5829950353709137,-196.76532862969174,0.031978323898770325,0.045723828939805325
2019-10-28,BTCUSDT,9528.23,9902.1,9160.0,9205.14,Bitcoin,8388.775,8841.7268,60.47998512887491,58.162317104061,-145.7797994829412,-0.03467534871867234,0.04665209958471854
2019-10-29,BTCUSDT,9204.45,9550.0,9072.0,9407.62,Bitcoin,8534.736,8823.8168,65.21600280836562,122.02770619217517,-92.21829834791794,0.02175797548920506,0.0458219184404954
2019-10-30,BTCUSDT,9407.62,9409.84,9001.01,9154.72,Bitcoin,8627.873000000001,8804.948199999999,63.88672630618667,150.49970384021435,-43.674697910291485,-0.027250405905421708,0.04637013809965897
2019-10-31,BTCUSDT,9154.02,9405.0,8913.0,9140.85,Bitcoin,8722.231,8784.598600000001,62.98112026702826,169.98528941813674,-0.9427004446058405,-0.0015162143247956757,0.04547904872928133
2019-11-01,BTCUSDT,9140.86,9279.0,9030.0,9231.61,Bitcoin,8843.392,8760.9306,65.7056924882629,190.55473351003457,37.35678634632224,0.009880085552161256,0.04549172009413561
2019-11-02,BTCUSDT,9231.4,9373.74,9186.21,9289.52,Bitcoin,9025.681999999999,8739.8798,66.17637483088185,209.11843206055164,71.70911548916813,0.0062534185241681015,0.04544943518774256
2019-11-03,BTCUSDT,9289.85,9362.57,9066.14,9194.71,Bitcoin,9203.912,8717.0736,62.24615353582214,213.71633340855806,100.11055907304612,-0.010258564351078504,0.04558241154153209
2019-11-04,BTCUSDT,9196.46,9513.68,9115.84,9393.35,Bitcoin,9277.744999999999,8698.9004,64.45050670043057,230.7290899244199,126.23426524332089,0.0213736734297728,0.04523904349401955
2019-11-05,BTCUSDT,9392.4,9454.95,9175.76,9308.66,Bitcoin,9285.611,8680.0474,65.9252686630614,234.67288389069836,147.92198897279638,-0.00905684243570516,0.04493554574722907
2019-11-06,BTCUSDT,9307.73,9440.91,9250.01,9339.05,Bitcoin,9266.523,8663.072,76.57459473115009,237.51268960341622,165.84012909892036,0.003259384332363361,0.044942648014986666
2019-11-07,BTCUSDT,9339.16,9375.0,9101.0,9216.2,Bitcoin,9267.628999999999,8644.2562,75.111161846637,227.23091129169188,178.11828553747466,-0.013241728898575776,0.04488704186604451
